target,stage,tau_max,tau_cap_lags,n_edges,n_features,pcmci_seconds,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,n_folds
substrate_bulk_ec_mean,fine,12,72,9,9,99.38996650010813,0.023222817713776617,0.003206347734277611,0.08581787811830471,0.0578969588122323,0.9171499097211813,5
substrate_bulk_ec_mean,fine,13,72,9,9,102.19235510006547,0.02322145927643407,0.0032034949078452806,0.08582319600286444,0.05789421992379701,0.9171353964685952,5
substrate_bulk_ec_mean,fine,14,72,10,10,104.03547750005964,0.02375553224978476,0.0030703374817342426,0.08579557195215903,0.05782908336398391,0.9171834986068292,5
substrate_bulk_ec_mean,fine,15,72,10,10,111.6014885000186,0.02378600408112371,0.0031400508915600525,0.08569758815631771,0.057712819689956917,0.9173769607931481,5
substrate_bulk_ec_mean,fine,16,72,10,10,132.30961689993273,0.02353319764506342,0.0031587105979209266,0.08574659814947494,0.058035556550907044,0.9172796618792459,5
substrate_bulk_ec_mean,fine,17,72,11,11,131.48847199999727,0.023517971523167112,0.0031634749426972157,0.08574706944807278,0.05800771966182416,0.9172713750033191,5
substrate_bulk_ec_mean,fine,18,72,10,10,140.6909465000499,0.02377949673616588,0.0031007446076721412,0.08571056694730991,0.05771857479314874,0.9173480092116788,5
substrate_bulk_ec_mean,fine,19,72,10,10,145.53827979997732,0.023781872911377337,0.0031021352059692033,0.0857106042155746,0.057718673723083126,0.9173479611907689,5
substrate_bulk_ec_mean,fine,20,72,10,10,142.3778756998945,0.023541530497940198,0.0031585452947017418,0.08574614947884864,0.05803596540654987,0.9172807107871505,5
substrate_bulk_ec_mean,fine,21,72,10,10,151.67055440007243,0.02354333704588546,0.0031585179806839377,0.08574570269758534,0.058036259738444056,0.9172817455793731,5
substrate_bulk_ec_mean,fine,22,72,9,9,161.73226099996828,0.023452621551543536,0.0032497677667068002,0.08607716658521081,0.058401155915479015,0.916622037417107,5
substrate_bulk_ec_mean,fine,23,72,9,9,169.8851439000573,0.023449469953653587,0.0032512623168000528,0.08607659997632962,0.058401606711238056,0.9166233476684725,5
substrate_bulk_ec_mean,fine,24,72,9,9,172.59262469992973,0.023448770607512583,0.0032522819943786798,0.08607645512911084,0.058401541190610216,0.9166236314615148,5
substrate_bulk_ec_mean,fine,25,72,8,8,172.5148601999972,0.02368158200357009,0.0031888875232773503,0.0860230267641402,0.05811233418527286,0.9167341990755624,5
substrate_bulk_ec_mean,fine,26,72,10,10,192.96025260002352,0.023876331954697218,0.003351596275311628,0.08597371758292753,0.057998643067779784,0.9168185056917117,5
substrate_bulk_ec_mean,fine,27,72,10,10,184.66480859997682,0.023878616254047365,0.0033514932324784957,0.0859737612106001,0.05799875841095024,0.9168184218461144,5
substrate_bulk_ec_mean,fine,28,72,9,9,193.77441279997583,0.023542054422022146,0.0033196368663879444,0.08566868603758807,0.05781234224098191,0.9174385813083953,5
substrate_bulk_ec_mean,fine,29,72,9,9,193.77123790001497,0.02384340182773045,0.00333104118864723,0.08596575360204525,0.05798940014861634,0.916830664859566,5
substrate_bulk_ec_mean,fine,30,72,11,11,213.4453904000111,0.02403750770199259,0.003322004571537802,0.08587855311007697,0.057879141542653834,0.9169921375389471,5
substrate_bulk_ec_mean,fine,31,72,10,10,211.77219669998158,0.023810892288313776,0.003376801058380113,0.08586625516037114,0.05788055941402431,0.9170118211276493,5
substrate_bulk_ec_mean,fine,32,72,10,10,207.96116320008878,0.023813071275944377,0.0033767924909983153,0.08586619854694073,0.05788067428687353,0.9170119310789436,5
substrate_bulk_ec_mean,fine,33,72,10,10,204.8537579999538,0.023815878944508963,0.0033767004367278373,0.0858661301524309,0.05788081263451993,0.9170120950057852,5
substrate_bulk_ec_mean,fine,34,72,10,10,215.08139519998804,0.02387728809249529,0.003410046203704242,0.08586156912158276,0.057900773245308804,0.9170292416921603,5
substrate_bulk_ec_mean,fine,35,72,8,8,216.9453500000527,0.023604337513023564,0.0033621240670252506,0.08596658401919033,0.05800669022209572,0.9168242452760179,5
substrate_bulk_ec_mean,fine,36,72,7,7,215.308661499992,0.023734125831907656,0.0031888224450155826,0.08602863243743779,0.05812729212943948,0.916726186823422,5
substrate_bulk_ec_mean,fine,37,72,8,8,218.52558190003037,0.023489815292349933,0.0032491318899204808,0.08607925965512138,0.05841571699428151,0.9166220317807552,5
substrate_bulk_ec_mean,fine,38,72,9,9,224.2207954999758,0.023747654919062902,0.0032588661445424978,0.08592751844394894,0.05832324969529231,0.9169189379776851,5
substrate_bulk_ec_mean,fine,39,72,8,8,244.56465479999315,0.02394029196166998,0.003198076731902719,0.08593076115660345,0.05803371806357101,0.9169175475629237,5
substrate_bulk_ec_mean,fine,40,72,7,7,240.92986819997896,0.02373425608042102,0.003192983293388436,0.08602821009096409,0.058127858958599364,0.9167272436097196,5
substrate_bulk_ec_mean,fine,41,72,9,9,261.8873095000163,0.023795195409363545,0.003353780666927991,0.08594743266276542,0.057779892914007126,0.916827014915147,5
substrate_bulk_ec_mean,fine,42,72,9,9,257.5871310000075,0.023797094919987806,0.003353749741116474,0.08594741550503819,0.05777993637048,0.9168270560474584,5
substrate_bulk_ec_mean,fine,43,72,9,9,268.4391095000319,0.023799317172669456,0.0033549196575528577,0.08594736608439828,0.05778004899716974,0.916827199773499,5
substrate_bulk_ec_mean,fine,44,72,8,8,263.54037489998154,0.02456304980989362,0.0032702590742886657,0.08544957486645763,0.053214676855117916,0.9168060748186712,5
substrate_bulk_ec_mean,fine,45,72,8,8,280.3634371000808,0.023207367830206195,0.0032103146270663105,0.08601352929764827,0.05777937232317201,0.916689990194883,5
substrate_bulk_ec_mean,fine,46,72,8,8,289.16533919994254,0.0232080063769114,0.003210043793188558,0.08601349026069453,0.05777939561456313,0.916690057934284,5
substrate_bulk_ec_mean,fine,47,72,9,9,297.0045346999541,0.023323236244579222,0.0032192847045391885,0.0859419607076654,0.057705167313310636,0.9168263129758264,5
